task_name,method,prompt_detail,n,perm_id,rank
summarize_intro,best-of-n,no_prompt_no_critique,16,0,1
summarize_intro,best-of-n,no_prompt_no_critique,4,0,2
summarize_intro,best-of-n,no_prompt_no_critique,control,0,3
summarize_intro,best-of-n,no_prompt_no_critique,2,0,4
summarize_intro,best-of-n,no_prompt_no_critique,8,0,5
summarize_intro,best-of-n,no_prompt_no_critique,4,1,1
summarize_intro,best-of-n,no_prompt_no_critique,8,1,2
summarize_intro,best-of-n,no_prompt_no_critique,16,1,3
summarize_intro,best-of-n,no_prompt_no_critique,control,1,4
summarize_intro,best-of-n,no_prompt_no_critique,2,1,5
summarize_intro,best-of-n,no_prompt_no_critique,4,2,1
summarize_intro,best-of-n,no_prompt_no_critique,control,2,2
summarize_intro,best-of-n,no_prompt_no_critique,16,2,3
summarize_intro,best-of-n,no_prompt_no_critique,2,2,4
summarize_intro,best-of-n,no_prompt_no_critique,8,2,5
summarize_intro,best-of-n,no_prompt_no_critique,16,3,1
summarize_intro,best-of-n,no_prompt_no_critique,4,3,2
summarize_intro,best-of-n,no_prompt_no_critique,8,3,3
summarize_intro,best-of-n,no_prompt_no_critique,control,3,4
summarize_intro,best-of-n,no_prompt_no_critique,2,3,5
summarize_intro,best-of-n,no_prompt_no_critique,4,4,1
summarize_intro,best-of-n,no_prompt_no_critique,control,4,2
summarize_intro,best-of-n,no_prompt_no_critique,16,4,3
summarize_intro,best-of-n,no_prompt_no_critique,8,4,4
summarize_intro,best-of-n,no_prompt_no_critique,2,4,5
summarize_intro,best-of-n,no_critique,4,0,1
summarize_intro,best-of-n,no_critique,control,0,2
summarize_intro,best-of-n,no_critique,2,0,3
summarize_intro,best-of-n,no_critique,8,0,4
summarize_intro,best-of-n,no_critique,16,0,5
summarize_intro,best-of-n,no_critique,4,1,1
summarize_intro,best-of-n,no_critique,2,1,2
summarize_intro,best-of-n,no_critique,control,1,3
summarize_intro,best-of-n,no_critique,16,1,4
summarize_intro,best-of-n,no_critique,8,1,5
summarize_intro,best-of-n,no_critique,8,2,1
summarize_intro,best-of-n,no_critique,16,2,2
summarize_intro,best-of-n,no_critique,4,2,3
summarize_intro,best-of-n,no_critique,control,2,4
summarize_intro,best-of-n,no_critique,2,2,5
summarize_intro,best-of-n,no_critique,8,3,1
summarize_intro,best-of-n,no_critique,control,3,2
summarize_intro,best-of-n,no_critique,2,3,3
summarize_intro,best-of-n,no_critique,4,3,4
summarize_intro,best-of-n,no_critique,16,3,5
summarize_intro,best-of-n,no_critique,16,4,1
summarize_intro,best-of-n,no_critique,8,4,2
summarize_intro,best-of-n,no_critique,4,4,3
summarize_intro,best-of-n,no_critique,control,4,4
summarize_intro,best-of-n,no_critique,2,4,5
summarize_intro,best-of-n,with_critique,8,0,1
summarize_intro,best-of-n,with_critique,4,0,2
summarize_intro,best-of-n,with_critique,16,0,3
summarize_intro,best-of-n,with_critique,2,0,4
summarize_intro,best-of-n,with_critique,control,0,5
summarize_intro,best-of-n,with_critique,16,1,1
summarize_intro,best-of-n,with_critique,4,1,2
summarize_intro,best-of-n,with_critique,8,1,3
summarize_intro,best-of-n,with_critique,control,1,4
summarize_intro,best-of-n,with_critique,2,1,5
summarize_intro,best-of-n,with_critique,8,2,1
summarize_intro,best-of-n,with_critique,4,2,2
summarize_intro,best-of-n,with_critique,16,2,3
summarize_intro,best-of-n,with_critique,2,2,4
summarize_intro,best-of-n,with_critique,control,2,5
summarize_intro,best-of-n,with_critique,4,3,1
summarize_intro,best-of-n,with_critique,2,3,2
summarize_intro,best-of-n,with_critique,control,3,3
summarize_intro,best-of-n,with_critique,8,3,4
summarize_intro,best-of-n,with_critique,16,3,5
summarize_intro,best-of-n,with_critique,8,4,1
summarize_intro,best-of-n,with_critique,16,4,2
summarize_intro,best-of-n,with_critique,4,4,3
summarize_intro,best-of-n,with_critique,control,4,4
summarize_intro,best-of-n,with_critique,2,4,5
summarize_intro,combine-n,no_prompt_no_critique,2,0,1
summarize_intro,combine-n,no_prompt_no_critique,control,0,2
summarize_intro,combine-n,no_prompt_no_critique,4,0,3
summarize_intro,combine-n,no_prompt_no_critique,16,0,4
summarize_intro,combine-n,no_prompt_no_critique,8,0,5
summarize_intro,combine-n,no_prompt_no_critique,8,1,1
summarize_intro,combine-n,no_prompt_no_critique,16,1,2
summarize_intro,combine-n,no_prompt_no_critique,2,1,3
summarize_intro,combine-n,no_prompt_no_critique,4,1,4
summarize_intro,combine-n,no_prompt_no_critique,control,1,5
summarize_intro,combine-n,no_prompt_no_critique,4,2,1
summarize_intro,combine-n,no_prompt_no_critique,16,2,2
summarize_intro,combine-n,no_prompt_no_critique,2,2,3
summarize_intro,combine-n,no_prompt_no_critique,8,2,4
summarize_intro,combine-n,no_prompt_no_critique,control,2,5
summarize_intro,combine-n,no_prompt_no_critique,control,3,1
summarize_intro,combine-n,no_prompt_no_critique,4,3,2
summarize_intro,combine-n,no_prompt_no_critique,2,3,3
summarize_intro,combine-n,no_prompt_no_critique,16,3,4
summarize_intro,combine-n,no_prompt_no_critique,8,3,5
summarize_intro,combine-n,no_prompt_no_critique,16,4,1
summarize_intro,combine-n,no_prompt_no_critique,4,4,2
summarize_intro,combine-n,no_prompt_no_critique,2,4,3
summarize_intro,combine-n,no_prompt_no_critique,control,4,4
summarize_intro,combine-n,no_prompt_no_critique,8,4,5
summarize_intro,combine-n,no_critique,8,0,1
summarize_intro,combine-n,no_critique,4,0,2
summarize_intro,combine-n,no_critique,2,0,3
summarize_intro,combine-n,no_critique,16,0,4
summarize_intro,combine-n,no_critique,control,0,5
summarize_intro,combine-n,no_critique,16,1,1
summarize_intro,combine-n,no_critique,4,1,2
summarize_intro,combine-n,no_critique,2,1,3
summarize_intro,combine-n,no_critique,8,1,4
summarize_intro,combine-n,no_critique,control,1,5
summarize_intro,combine-n,no_critique,2,2,1
summarize_intro,combine-n,no_critique,4,2,2
summarize_intro,combine-n,no_critique,control,2,3
summarize_intro,combine-n,no_critique,16,2,4
summarize_intro,combine-n,no_critique,8,2,5
summarize_intro,combine-n,no_critique,2,3,1
summarize_intro,combine-n,no_critique,4,3,2
summarize_intro,combine-n,no_critique,8,3,3
summarize_intro,combine-n,no_critique,16,3,4
summarize_intro,combine-n,no_critique,control,3,5
summarize_intro,combine-n,no_critique,4,4,1
summarize_intro,combine-n,no_critique,control,4,2
summarize_intro,combine-n,no_critique,2,4,3
summarize_intro,combine-n,no_critique,16,4,4
summarize_intro,combine-n,no_critique,8,4,5
summarize_intro,combine-n,with_critique,4,0,1
summarize_intro,combine-n,with_critique,8,0,2
summarize_intro,combine-n,with_critique,control,0,3
summarize_intro,combine-n,with_critique,2,0,4
summarize_intro,combine-n,with_critique,16,0,5
summarize_intro,combine-n,with_critique,8,1,1
summarize_intro,combine-n,with_critique,16,1,2
summarize_intro,combine-n,with_critique,2,1,3
summarize_intro,combine-n,with_critique,control,1,4
summarize_intro,combine-n,with_critique,4,1,5
summarize_intro,combine-n,with_critique,4,2,1
summarize_intro,combine-n,with_critique,2,2,2
summarize_intro,combine-n,with_critique,16,2,3
summarize_intro,combine-n,with_critique,8,2,4
summarize_intro,combine-n,with_critique,control,2,5
summarize_intro,combine-n,with_critique,control,3,1
summarize_intro,combine-n,with_critique,8,3,2
summarize_intro,combine-n,with_critique,2,3,3
summarize_intro,combine-n,with_critique,16,3,4
summarize_intro,combine-n,with_critique,4,3,5
summarize_intro,combine-n,with_critique,4,4,1
summarize_intro,combine-n,with_critique,16,4,2
summarize_intro,combine-n,with_critique,2,4,3
summarize_intro,combine-n,with_critique,8,4,4
summarize_intro,combine-n,with_critique,control,4,5
music_viz_gen,best-of-n,no_prompt_no_critique,2,0,1
music_viz_gen,best-of-n,no_prompt_no_critique,16,0,2
music_viz_gen,best-of-n,no_prompt_no_critique,control,0,3
music_viz_gen,best-of-n,no_prompt_no_critique,4,0,4
music_viz_gen,best-of-n,no_prompt_no_critique,8,0,5
music_viz_gen,best-of-n,no_prompt_no_critique,2,1,1
music_viz_gen,best-of-n,no_prompt_no_critique,8,1,2
music_viz_gen,best-of-n,no_prompt_no_critique,4,1,3
music_viz_gen,best-of-n,no_prompt_no_critique,control,1,4
music_viz_gen,best-of-n,no_prompt_no_critique,16,1,5
music_viz_gen,best-of-n,no_prompt_no_critique,2,2,1
music_viz_gen,best-of-n,no_prompt_no_critique,4,2,2
music_viz_gen,best-of-n,no_prompt_no_critique,control,2,3
music_viz_gen,best-of-n,no_prompt_no_critique,8,2,4
music_viz_gen,best-of-n,no_prompt_no_critique,16,2,5
music_viz_gen,best-of-n,no_prompt_no_critique,2,3,1
music_viz_gen,best-of-n,no_prompt_no_critique,4,3,2
music_viz_gen,best-of-n,no_prompt_no_critique,16,3,3
music_viz_gen,best-of-n,no_prompt_no_critique,control,3,4
music_viz_gen,best-of-n,no_prompt_no_critique,8,3,5
music_viz_gen,best-of-n,no_prompt_no_critique,2,4,1
music_viz_gen,best-of-n,no_prompt_no_critique,8,4,2
music_viz_gen,best-of-n,no_prompt_no_critique,16,4,3
music_viz_gen,best-of-n,no_prompt_no_critique,4,4,4
music_viz_gen,best-of-n,no_prompt_no_critique,control,4,5
music_viz_gen,best-of-n,no_critique,8,0,1
music_viz_gen,best-of-n,no_critique,control,0,2
music_viz_gen,best-of-n,no_critique,4,0,3
music_viz_gen,best-of-n,no_critique,16,0,4
music_viz_gen,best-of-n,no_critique,2,0,5
music_viz_gen,best-of-n,no_critique,8,1,1
music_viz_gen,best-of-n,no_critique,control,1,2
music_viz_gen,best-of-n,no_critique,2,1,3
music_viz_gen,best-of-n,no_critique,4,1,4
music_viz_gen,best-of-n,no_critique,16,1,5
music_viz_gen,best-of-n,no_critique,8,2,1
music_viz_gen,best-of-n,no_critique,16,2,2
music_viz_gen,best-of-n,no_critique,2,2,3
music_viz_gen,best-of-n,no_critique,4,2,4
music_viz_gen,best-of-n,no_critique,control,2,5
music_viz_gen,best-of-n,no_critique,8,3,1
music_viz_gen,best-of-n,no_critique,4,3,2
music_viz_gen,best-of-n,no_critique,16,3,3
music_viz_gen,best-of-n,no_critique,2,3,4
music_viz_gen,best-of-n,no_critique,control,3,5
music_viz_gen,best-of-n,no_critique,8,4,1
music_viz_gen,best-of-n,no_critique,2,4,2
music_viz_gen,best-of-n,no_critique,16,4,3
music_viz_gen,best-of-n,no_critique,control,4,4
music_viz_gen,best-of-n,no_critique,4,4,5
music_viz_gen,best-of-n,with_critique,control,0,1
music_viz_gen,best-of-n,with_critique,4,0,2
music_viz_gen,best-of-n,with_critique,8,0,3
music_viz_gen,best-of-n,with_critique,2,0,4
music_viz_gen,best-of-n,with_critique,16,0,5
music_viz_gen,best-of-n,with_critique,16,1,1
music_viz_gen,best-of-n,with_critique,2,1,2
music_viz_gen,best-of-n,with_critique,8,1,3
music_viz_gen,best-of-n,with_critique,4,1,4
music_viz_gen,best-of-n,with_critique,control,1,5
music_viz_gen,best-of-n,with_critique,16,2,1
music_viz_gen,best-of-n,with_critique,4,2,2
music_viz_gen,best-of-n,with_critique,2,2,3
music_viz_gen,best-of-n,with_critique,control,2,4
music_viz_gen,best-of-n,with_critique,8,2,5
music_viz_gen,best-of-n,with_critique,2,3,1
music_viz_gen,best-of-n,with_critique,4,3,2
music_viz_gen,best-of-n,with_critique,16,3,3
music_viz_gen,best-of-n,with_critique,control,3,4
music_viz_gen,best-of-n,with_critique,8,3,5
music_viz_gen,best-of-n,with_critique,2,4,1
music_viz_gen,best-of-n,with_critique,16,4,2
music_viz_gen,best-of-n,with_critique,8,4,3
music_viz_gen,best-of-n,with_critique,4,4,4
music_viz_gen,best-of-n,with_critique,control,4,5
music_viz_gen,combine-n,no_prompt_no_critique,2,0,1
music_viz_gen,combine-n,no_prompt_no_critique,4,0,2
music_viz_gen,combine-n,no_prompt_no_critique,16,0,3
music_viz_gen,combine-n,no_prompt_no_critique,8,0,4
music_viz_gen,combine-n,no_prompt_no_critique,control,0,5
music_viz_gen,combine-n,no_prompt_no_critique,2,1,1
music_viz_gen,combine-n,no_prompt_no_critique,8,1,2
music_viz_gen,combine-n,no_prompt_no_critique,4,1,3
music_viz_gen,combine-n,no_prompt_no_critique,16,1,4
music_viz_gen,combine-n,no_prompt_no_critique,control,1,5
music_viz_gen,combine-n,no_prompt_no_critique,4,2,1
music_viz_gen,combine-n,no_prompt_no_critique,2,2,2
music_viz_gen,combine-n,no_prompt_no_critique,16,2,3
music_viz_gen,combine-n,no_prompt_no_critique,control,2,4
music_viz_gen,combine-n,no_prompt_no_critique,8,2,5
music_viz_gen,combine-n,no_prompt_no_critique,8,3,1
music_viz_gen,combine-n,no_prompt_no_critique,4,3,2
music_viz_gen,combine-n,no_prompt_no_critique,2,3,3
music_viz_gen,combine-n,no_prompt_no_critique,16,3,4
music_viz_gen,combine-n,no_prompt_no_critique,control,3,5
music_viz_gen,combine-n,no_prompt_no_critique,8,4,1
music_viz_gen,combine-n,no_prompt_no_critique,2,4,2
music_viz_gen,combine-n,no_prompt_no_critique,16,4,3
music_viz_gen,combine-n,no_prompt_no_critique,4,4,4
music_viz_gen,combine-n,no_prompt_no_critique,control,4,5
music_viz_gen,combine-n,no_critique,2,0,1
music_viz_gen,combine-n,no_critique,4,0,2
music_viz_gen,combine-n,no_critique,8,0,3
music_viz_gen,combine-n,no_critique,16,0,4
music_viz_gen,combine-n,no_critique,control,0,5
music_viz_gen,combine-n,no_critique,8,1,1
music_viz_gen,combine-n,no_critique,2,1,2
music_viz_gen,combine-n,no_critique,control,1,3
music_viz_gen,combine-n,no_critique,16,1,4
music_viz_gen,combine-n,no_critique,4,1,5
music_viz_gen,combine-n,no_critique,2,2,1
music_viz_gen,combine-n,no_critique,16,2,2
music_viz_gen,combine-n,no_critique,control,2,3
music_viz_gen,combine-n,no_critique,8,2,4
music_viz_gen,combine-n,no_critique,4,2,5
music_viz_gen,combine-n,no_critique,2,3,1
music_viz_gen,combine-n,no_critique,8,3,2
music_viz_gen,combine-n,no_critique,4,3,3
music_viz_gen,combine-n,no_critique,16,3,4
music_viz_gen,combine-n,no_critique,control,3,5
music_viz_gen,combine-n,no_critique,8,4,1
music_viz_gen,combine-n,no_critique,2,4,2
music_viz_gen,combine-n,no_critique,16,4,3
music_viz_gen,combine-n,no_critique,4,4,4
music_viz_gen,combine-n,no_critique,control,4,5
music_viz_gen,combine-n,with_critique,2,0,1
music_viz_gen,combine-n,with_critique,8,0,2
music_viz_gen,combine-n,with_critique,control,0,3
music_viz_gen,combine-n,with_critique,4,0,4
music_viz_gen,combine-n,with_critique,16,0,5
music_viz_gen,combine-n,with_critique,8,1,1
music_viz_gen,combine-n,with_critique,2,1,2
music_viz_gen,combine-n,with_critique,4,1,3
music_viz_gen,combine-n,with_critique,16,1,4
music_viz_gen,combine-n,with_critique,control,1,5
music_viz_gen,combine-n,with_critique,16,2,1
music_viz_gen,combine-n,with_critique,2,2,2
music_viz_gen,combine-n,with_critique,control,2,3
music_viz_gen,combine-n,with_critique,8,2,4
music_viz_gen,combine-n,with_critique,4,2,5
music_viz_gen,combine-n,with_critique,16,3,1
music_viz_gen,combine-n,with_critique,2,3,2
music_viz_gen,combine-n,with_critique,8,3,3
music_viz_gen,combine-n,with_critique,4,3,4
music_viz_gen,combine-n,with_critique,control,3,5
music_viz_gen,combine-n,with_critique,2,4,1
music_viz_gen,combine-n,with_critique,8,4,2
music_viz_gen,combine-n,with_critique,4,4,3
music_viz_gen,combine-n,with_critique,control,4,4
music_viz_gen,combine-n,with_critique,16,4,5
