task_name,n,perm_id,method,prompt_detail,rank
summarize_intro,2,0,combine-n,with_critique,1
summarize_intro,2,0,best-of-n,no_critique,2
summarize_intro,2,0,control,original,3
summarize_intro,2,0,best-of-n,with_critique,4
summarize_intro,2,0,combine-n,no_critique,5
summarize_intro,2,0,combine-n,no_prompt_no_critique,6
summarize_intro,2,0,best-of-n,no_prompt_no_critique,7
summarize_intro,2,1,combine-n,with_critique,1
summarize_intro,2,1,best-of-n,no_critique,2
summarize_intro,2,1,combine-n,no_critique,3
summarize_intro,2,1,combine-n,no_prompt_no_critique,4
summarize_intro,2,1,best-of-n,no_prompt_no_critique,5
summarize_intro,2,1,best-of-n,with_critique,6
summarize_intro,2,1,control,original,7
summarize_intro,2,2,combine-n,no_critique,1
summarize_intro,2,2,combine-n,no_prompt_no_critique,2
summarize_intro,2,2,combine-n,with_critique,3
summarize_intro,2,2,best-of-n,no_critique,4
summarize_intro,2,2,best-of-n,no_prompt_no_critique,5
summarize_intro,2,2,best-of-n,with_critique,6
summarize_intro,2,2,control,original,7
summarize_intro,2,3,combine-n,no_critique,1
summarize_intro,2,3,combine-n,no_prompt_no_critique,2
summarize_intro,2,3,best-of-n,no_critique,3
summarize_intro,2,3,combine-n,with_critique,4
summarize_intro,2,3,control,original,5
summarize_intro,2,3,best-of-n,no_prompt_no_critique,6
summarize_intro,2,3,best-of-n,with_critique,7
summarize_intro,2,4,best-of-n,no_critique,1
summarize_intro,2,4,control,original,2
summarize_intro,2,4,best-of-n,with_critique,3
summarize_intro,2,4,combine-n,with_critique,4
summarize_intro,2,4,combine-n,no_critique,5
summarize_intro,2,4,combine-n,no_prompt_no_critique,6
summarize_intro,2,4,best-of-n,no_prompt_no_critique,7
summarize_intro,4,0,combine-n,with_critique,1
summarize_intro,4,0,best-of-n,no_critique,2
summarize_intro,4,0,combine-n,no_critique,3
summarize_intro,4,0,combine-n,no_prompt_no_critique,4
summarize_intro,4,0,control,original,5
summarize_intro,4,0,best-of-n,no_prompt_no_critique,6
summarize_intro,4,0,best-of-n,with_critique,7
summarize_intro,4,1,combine-n,with_critique,1
summarize_intro,4,1,best-of-n,no_prompt_no_critique,2
summarize_intro,4,1,combine-n,no_critique,3
summarize_intro,4,1,control,original,4
summarize_intro,4,1,best-of-n,with_critique,5
summarize_intro,4,1,best-of-n,no_critique,6
summarize_intro,4,1,combine-n,no_prompt_no_critique,7
summarize_intro,4,2,combine-n,no_prompt_no_critique,1
summarize_intro,4,2,best-of-n,no_prompt_no_critique,2
summarize_intro,4,2,combine-n,with_critique,3
summarize_intro,4,2,control,original,4
summarize_intro,4,2,combine-n,no_critique,5
summarize_intro,4,2,best-of-n,with_critique,6
summarize_intro,4,2,best-of-n,no_critique,7
summarize_intro,4,3,best-of-n,no_prompt_no_critique,1
summarize_intro,4,3,combine-n,with_critique,2
summarize_intro,4,3,control,original,3
summarize_intro,4,3,combine-n,no_critique,4
summarize_intro,4,3,combine-n,no_prompt_no_critique,5
summarize_intro,4,3,best-of-n,no_critique,6
summarize_intro,4,3,best-of-n,with_critique,7
summarize_intro,4,4,combine-n,with_critique,1
summarize_intro,4,4,combine-n,no_critique,2
summarize_intro,4,4,combine-n,no_prompt_no_critique,3
summarize_intro,4,4,control,original,4
summarize_intro,4,4,best-of-n,with_critique,5
summarize_intro,4,4,best-of-n,no_prompt_no_critique,6
summarize_intro,4,4,best-of-n,no_critique,7
summarize_intro,8,0,combine-n,no_critique,1
summarize_intro,8,0,best-of-n,with_critique,2
summarize_intro,8,0,combine-n,no_prompt_no_critique,3
summarize_intro,8,0,combine-n,with_critique,4
summarize_intro,8,0,control,original,5
summarize_intro,8,0,best-of-n,no_critique,6
summarize_intro,8,0,best-of-n,no_prompt_no_critique,7
summarize_intro,8,1,combine-n,no_prompt_no_critique,1
summarize_intro,8,1,combine-n,no_critique,2
summarize_intro,8,1,control,original,3
summarize_intro,8,1,combine-n,with_critique,4
summarize_intro,8,1,best-of-n,no_prompt_no_critique,5
summarize_intro,8,1,best-of-n,no_critique,6
summarize_intro,8,1,best-of-n,with_critique,7
summarize_intro,8,2,best-of-n,with_critique,1
summarize_intro,8,2,control,original,2
summarize_intro,8,2,combine-n,with_critique,3
summarize_intro,8,2,best-of-n,no_prompt_no_critique,4
summarize_intro,8,2,best-of-n,no_critique,5
summarize_intro,8,2,combine-n,no_critique,6
summarize_intro,8,2,combine-n,no_prompt_no_critique,7
summarize_intro,8,3,control,original,1
summarize_intro,8,3,combine-n,no_critique,2
summarize_intro,8,3,combine-n,with_critique,3
summarize_intro,8,3,combine-n,no_prompt_no_critique,4
summarize_intro,8,3,best-of-n,with_critique,5
summarize_intro,8,3,best-of-n,no_prompt_no_critique,6
summarize_intro,8,3,best-of-n,no_critique,7
summarize_intro,8,4,combine-n,no_prompt_no_critique,1
summarize_intro,8,4,combine-n,no_critique,2
summarize_intro,8,4,control,original,3
summarize_intro,8,4,combine-n,with_critique,4
summarize_intro,8,4,best-of-n,no_prompt_no_critique,5
summarize_intro,8,4,best-of-n,with_critique,6
summarize_intro,8,4,best-of-n,no_critique,7
summarize_intro,16,0,best-of-n,no_prompt_no_critique,1
summarize_intro,16,0,combine-n,with_critique,2
summarize_intro,16,0,combine-n,no_prompt_no_critique,3
summarize_intro,16,0,control,original,4
summarize_intro,16,0,combine-n,no_critique,5
summarize_intro,16,0,best-of-n,no_critique,6
summarize_intro,16,0,best-of-n,with_critique,7
summarize_intro,16,1,best-of-n,with_critique,1
summarize_intro,16,1,best-of-n,no_prompt_no_critique,2
summarize_intro,16,1,best-of-n,no_critique,3
summarize_intro,16,1,control,original,4
summarize_intro,16,1,combine-n,no_critique,5
summarize_intro,16,1,combine-n,with_critique,6
summarize_intro,16,1,combine-n,no_prompt_no_critique,7
summarize_intro,16,2,combine-n,with_critique,1
summarize_intro,16,2,best-of-n,no_prompt_no_critique,2
summarize_intro,16,2,best-of-n,with_critique,3
summarize_intro,16,2,best-of-n,no_critique,4
summarize_intro,16,2,control,original,5
summarize_intro,16,2,combine-n,no_prompt_no_critique,6
summarize_intro,16,2,combine-n,no_critique,7
summarize_intro,16,3,combine-n,with_critique,1
summarize_intro,16,3,combine-n,no_prompt_no_critique,2
summarize_intro,16,3,combine-n,no_critique,3
summarize_intro,16,3,best-of-n,no_prompt_no_critique,4
summarize_intro,16,3,control,original,5
summarize_intro,16,3,best-of-n,with_critique,6
summarize_intro,16,3,best-of-n,no_critique,7
summarize_intro,16,4,combine-n,with_critique,1
summarize_intro,16,4,control,original,2
summarize_intro,16,4,best-of-n,no_prompt_no_critique,3
summarize_intro,16,4,combine-n,no_prompt_no_critique,4
summarize_intro,16,4,combine-n,no_critique,5
music_viz_gen,2,0,combine-n,with_critique,1
music_viz_gen,2,0,combine-n,no_critique,2
music_viz_gen,2,0,best-of-n,with_critique,3
music_viz_gen,2,0,best-of-n,no_prompt_no_critique,4
music_viz_gen,2,0,combine-n,no_prompt_no_critique,5
music_viz_gen,2,0,best-of-n,no_critique,6
music_viz_gen,2,0,control,original,7
music_viz_gen,2,1,combine-n,no_critique,1
music_viz_gen,2,1,best-of-n,no_prompt_no_critique,2
music_viz_gen,2,1,best-of-n,with_critique,3
music_viz_gen,2,1,combine-n,no_prompt_no_critique,4
music_viz_gen,2,1,combine-n,with_critique,5
music_viz_gen,2,1,best-of-n,no_critique,6
music_viz_gen,2,1,control,original,7
music_viz_gen,2,2,best-of-n,with_critique,1
music_viz_gen,2,2,combine-n,no_prompt_no_critique,2
music_viz_gen,2,2,combine-n,with_critique,3
music_viz_gen,2,2,combine-n,no_critique,4
music_viz_gen,2,2,control,original,5
music_viz_gen,2,2,best-of-n,no_critique,6
music_viz_gen,2,2,best-of-n,no_prompt_no_critique,7
music_viz_gen,2,3,combine-n,no_critique,1
music_viz_gen,2,3,combine-n,with_critique,2
music_viz_gen,2,3,combine-n,no_prompt_no_critique,3
music_viz_gen,2,3,best-of-n,no_prompt_no_critique,4
music_viz_gen,2,3,best-of-n,no_critique,5
music_viz_gen,2,3,best-of-n,with_critique,6
music_viz_gen,2,3,control,original,7
music_viz_gen,2,4,combine-n,no_prompt_no_critique,1
music_viz_gen,2,4,combine-n,with_critique,2
music_viz_gen,2,4,best-of-n,no_prompt_no_critique,3
music_viz_gen,2,4,control,original,4
music_viz_gen,2,4,combine-n,no_critique,5
music_viz_gen,2,4,best-of-n,no_critique,6
music_viz_gen,2,4,best-of-n,with_critique,7
music_viz_gen,4,0,combine-n,no_critique,1
music_viz_gen,4,0,combine-n,no_prompt_no_critique,2
music_viz_gen,4,0,best-of-n,no_prompt_no_critique,3
music_viz_gen,4,0,combine-n,with_critique,4
music_viz_gen,4,0,best-of-n,no_critique,5
music_viz_gen,4,0,control,original,6
music_viz_gen,4,0,best-of-n,with_critique,7
music_viz_gen,4,1,combine-n,with_critique,1
music_viz_gen,4,1,combine-n,no_prompt_no_critique,2
music_viz_gen,4,1,combine-n,no_critique,3
music_viz_gen,4,1,control,original,4
music_viz_gen,4,1,best-of-n,with_critique,5
music_viz_gen,4,1,best-of-n,no_prompt_no_critique,6
music_viz_gen,4,1,best-of-n,no_critique,7
music_viz_gen,4,2,combine-n,no_prompt_no_critique,1
music_viz_gen,4,2,combine-n,with_critique,2
music_viz_gen,4,2,combine-n,no_critique,3
music_viz_gen,4,2,best-of-n,no_critique,4
music_viz_gen,4,2,best-of-n,with_critique,5
music_viz_gen,4,2,control,original,6
music_viz_gen,4,2,best-of-n,no_prompt_no_critique,7
music_viz_gen,4,3,combine-n,with_critique,1
music_viz_gen,4,3,combine-n,no_prompt_no_critique,2
music_viz_gen,4,3,combine-n,no_critique,3
music_viz_gen,4,3,control,original,4
music_viz_gen,4,3,best-of-n,no_prompt_no_critique,5
music_viz_gen,4,3,best-of-n,with_critique,6
music_viz_gen,4,3,best-of-n,no_critique,7
music_viz_gen,4,4,combine-n,with_critique,1
music_viz_gen,4,4,combine-n,no_prompt_no_critique,2
music_viz_gen,4,4,combine-n,no_critique,3
music_viz_gen,4,4,best-of-n,no_prompt_no_critique,4
music_viz_gen,4,4,control,original,5
music_viz_gen,4,4,best-of-n,with_critique,6
music_viz_gen,4,4,best-of-n,no_critique,7
music_viz_gen,8,0,combine-n,no_prompt_no_critique,1
music_viz_gen,8,0,best-of-n,no_critique,2
music_viz_gen,8,0,combine-n,no_critique,3
music_viz_gen,8,0,best-of-n,no_prompt_no_critique,4
music_viz_gen,8,0,control,original,5
music_viz_gen,8,0,best-of-n,with_critique,6
music_viz_gen,8,0,combine-n,with_critique,7
music_viz_gen,8,1,combine-n,no_prompt_no_critique,1
music_viz_gen,8,1,combine-n,no_critique,2
music_viz_gen,8,1,best-of-n,no_critique,3
music_viz_gen,8,1,best-of-n,no_prompt_no_critique,4
music_viz_gen,8,1,control,original,5
music_viz_gen,8,1,best-of-n,with_critique,6
music_viz_gen,8,1,combine-n,with_critique,7
music_viz_gen,8,2,combine-n,no_prompt_no_critique,1
music_viz_gen,8,2,best-of-n,no_critique,2
music_viz_gen,8,2,combine-n,with_critique,3
music_viz_gen,8,2,combine-n,no_critique,4
music_viz_gen,8,2,best-of-n,with_critique,5
music_viz_gen,8,2,best-of-n,no_prompt_no_critique,6
music_viz_gen,8,2,control,original,7
music_viz_gen,8,3,combine-n,no_prompt_no_critique,1
music_viz_gen,8,3,best-of-n,no_critique,2
music_viz_gen,8,3,combine-n,with_critique,3
music_viz_gen,8,3,control,original,4
music_viz_gen,8,3,combine-n,no_critique,5
music_viz_gen,8,3,best-of-n,with_critique,6
music_viz_gen,8,3,best-of-n,no_prompt_no_critique,7
music_viz_gen,8,4,combine-n,no_critique,1
music_viz_gen,8,4,combine-n,with_critique,2
music_viz_gen,8,4,best-of-n,no_critique,3
music_viz_gen,8,4,control,original,4
music_viz_gen,8,4,best-of-n,no_prompt_no_critique,5
music_viz_gen,8,4,best-of-n,with_critique,6
music_viz_gen,8,4,combine-n,no_prompt_no_critique,7
music_viz_gen,16,0,combine-n,with_critique,1
music_viz_gen,16,0,combine-n,no_prompt_no_critique,2
music_viz_gen,16,0,best-of-n,with_critique,3
music_viz_gen,16,0,combine-n,no_critique,4
music_viz_gen,16,0,control,original,5
music_viz_gen,16,0,best-of-n,no_critique,6
music_viz_gen,16,0,best-of-n,no_prompt_no_critique,7
music_viz_gen,16,1,combine-n,with_critique,1
music_viz_gen,16,1,best-of-n,with_critique,2
music_viz_gen,16,1,combine-n,no_critique,3
music_viz_gen,16,1,combine-n,no_prompt_no_critique,4
music_viz_gen,16,1,best-of-n,no_prompt_no_critique,5
music_viz_gen,16,1,control,original,6
music_viz_gen,16,1,best-of-n,no_critique,7
music_viz_gen,16,2,combine-n,with_critique,1
music_viz_gen,16,2,best-of-n,with_critique,2
music_viz_gen,16,2,best-of-n,no_prompt_no_critique,3
music_viz_gen,16,2,combine-n,no_critique,4
music_viz_gen,16,2,combine-n,no_prompt_no_critique,5
music_viz_gen,16,2,control,original,6
music_viz_gen,16,2,best-of-n,no_critique,7
music_viz_gen,16,3,best-of-n,with_critique,1
music_viz_gen,16,3,combine-n,with_critique,2
music_viz_gen,16,3,combine-n,no_prompt_no_critique,3
music_viz_gen,16,3,combine-n,no_critique,4
music_viz_gen,16,3,control,original,5
music_viz_gen,16,3,best-of-n,no_critique,6
music_viz_gen,16,3,best-of-n,no_prompt_no_critique,7
music_viz_gen,16,4,best-of-n,with_critique,1
music_viz_gen,16,4,combine-n,no_critique,2
music_viz_gen,16,4,combine-n,with_critique,3
music_viz_gen,16,4,combine-n,no_prompt_no_critique,4
music_viz_gen,16,4,best-of-n,no_critique,5
music_viz_gen,16,4,best-of-n,no_prompt_no_critique,6
music_viz_gen,16,4,control,original,7
